Numéro du tour; Age; Poisson; Requin
300;22;5;0;
300;23;4;1;
300;24;4;3;
300;25;2;3;
300;26;2;2;
300;27;1;3;
300;28;1;7;
300;29;0;9;
300;3;58;10;
300;2;92;5;
300;1;136;1;
300;0;204;4;
300;30;0;4;
300;7;15;26;
300;6;30;15;
300;32;1;0;
300;5;42;10;
300;31;2;0;
300;4;41;11;
300;71;0;1;
300;9;11;17;
300;8;12;29;
300;59;6;1;
300;58;7;0;
300;57;8;0;
300;56;12;1;
300;19;3;13;
300;55;17;0;
300;17;3;10;
300;18;1;16;
300;15;9;5;
300;16;6;5;
300;13;9;4;
300;14;12;6;
300;11;12;0;
300;12;12;1;
300;21;6;0;
300;20;4;4;
300;64;2;0;
300;62;1;0;
300;63;1;0;
300;60;6;1;
300;61;5;3;
300;49;192;1;
300;48;0;1;
300;45;0;1;
300;46;0;1;
300;10;10;4;
300;51;80;0;
300;52;44;0;
300;53;33;0;
300;54;25;0;
300;50;143;4;

310;77;0;1;
310;35;0;3;
310;36;0;2;
310;33;1;0;
310;34;1;3;
310;39;0;9;
310;37;0;3;
310;38;1;7;
310;40;0;4;
310;81;0;1;
310;66;3;1;
310;69;1;1;
310;68;2;0;
310;22;1;1;
310;23;1;3;
310;24;3;5;
310;25;3;5;
310;26;3;4;
310;27;1;10;
310;28;0;15;
310;29;0;13;
310;3;25;18;
310;2;47;15;
310;1;58;6;
310;0;154;5;
310;30;0;4;
310;7;12;52;
310;6;9;41;
310;32;1;0;
310;5;9;25;
310;4;30;20;
310;70;2;1;
310;71;0;3;
310;9;5;21;
310;8;7;43;
310;74;1;0;
310;59;126;1;
310;58;0;1;
310;56;0;1;
310;19;3;17;
310;55;0;1;
310;17;0;25;
310;18;0;28;
310;15;4;9;
310;16;4;13;
310;13;2;8;
310;14;4;9;
310;11;5;1;
310;12;6;3;
310;21;3;0;
310;20;3;4;
310;64;2;0;
310;65;3;0;
310;62;20;0;
310;63;8;0;
310;60;75;4;
310;61;29;0;
310;49;0;4;
310;48;0;2;
310;45;0;2;
310;44;0;1;
310;47;1;1;
310;46;0;1;
310;10;6;4;
310;50;0;3;

320;35;0;1;
320;36;0;2;
320;37;0;2;
320;38;0;3;
320;81;0;1;
320;69;41;0;
320;22;0;1;
320;24;0;2;
320;27;0;5;
320;28;0;3;
320;29;0;2;
320;3;4;3;
320;2;10;7;
320;1;16;6;
320;0;42;2;
320;7;0;10;
320;6;0;18;
320;32;0;1;
320;5;1;14;
320;4;0;5;
320;70;35;0;
320;9;0;3;
320;71;4;0;
320;8;2;11;
320;72;4;0;
320;73;1;0;
320;59;0;1;
320;58;0;1;
320;57;0;1;
320;19;0;2;
320;17;0;8;
320;18;0;2;
320;15;0;4;
320;16;0;4;
320;13;0;3;
320;14;0;1;
320;11;0;1;
320;12;0;1;
320;49;0;1;
320;48;0;1;
320;47;0;1;

330;37;0;1;
330;80;1;0;
330;25;0;1;
330;26;0;1;
330;27;0;1;
330;29;0;2;
330;3;60;1;
330;2;69;0;
330;1;91;1;
330;0;127;1;
330;7;20;2;
330;6;28;1;
330;5;35;4;
330;4;40;3;
330;9;10;0;
330;8;13;3;
330;19;0;1;
330;17;0;1;
330;18;0;1;
330;15;0;3;
330;16;0;2;
330;14;0;1;
330;11;3;0;
330;12;3;1;
330;21;0;1;
330;47;0;1;
330;10;7;2;

340;35;0;1;
340;36;0;1;
340;39;0;2;
340;22;2;1;
340;24;0;1;
340;25;0;1;
340;26;0;1;
340;27;0;1;
340;28;0;1;
340;29;0;1;
340;3;31;3;
340;2;34;1;
340;1;38;1;
340;0;49;2;
340;7;227;3;
340;6;273;4;
340;5;172;3;
340;31;0;1;
340;4;22;5;
340;9;120;2;
340;8;169;3;
340;19;9;0;
340;17;18;2;
340;18;10;2;
340;15;31;3;
340;16;22;1;
340;13;46;1;
340;14;35;2;
340;11;70;1;
340;12;53;0;
340;21;3;0;
